MoldCutterID,CutterID,MoldDesignID,DateEntry,MoldCutterNotes,UpdatedAt,UpdatedBy
908,792,1949,8/16/2024,,,
888,793,1854,8/16/2024,,,
489,794,49,8/16/2024,,,
993,795,2163,8/16/2024,,,
2441,796,2644,1/22/2025,,,
437,796,2646,8/9/2024,ノート,,
1150,797,3015,8/16/2024,,,
440,798,1036,8/15/2024,,,
439,798,1037,8/15/2024,,,
442,798,1039,8/15/2024,,,
441,798,1040,8/15/2024,,,
443,798,1044,8/15/2024,,,
444,798,1045,8/15/2024,,,
1040,799,2356,8/16/2024,,,
448,801,1491,8/15/2024,,,
449,801,1492,8/15/2024,,,
1038,807,2321,8/16/2024,,,
1109,811,2683,8/16/2024,,,
1110,811,2685,8/16/2024,,,
1111,811,2818,8/16/2024,,,
975,814,2093,8/16/2024,,,
976,814,2095,8/16/2024,,,
977,814,3079,8/16/2024,,,
978,814,3080,8/16/2024,,,
587,815,529,8/16/2024,,,
588,815,1388,8/16/2024,PS,,
1142,816,609,8/16/2024,,,
2385,816,682,1/21/2025,,,
1141,816,1393,8/16/2024,,,
1140,816,2067,8/16/2024,,,
2397,816,2972,1/21/2025,,,
1138,816,3323,8/16/2024,,,
2386,816,4260,1/21/2025,,,
686,817,889,8/16/2024,,,
687,817,895,8/16/2024,,,
2412,818,167,1/21/2025,,,
671,818,865,8/16/2024,,,
675,818,870,8/16/2024,,,
672,818,1033,8/16/2024,,,
674,818,2033,8/16/2024,,,
673,818,2971,8/16/2024,,,
2411,818,4268,1/21/2025,,,
1117,819,2559,8/16/2024,,,
1115,819,2730,8/16/2024,,,
1116,819,2731,8/16/2024,,,
648,820,682,8/16/2024,,,
649,820,773,8/16/2024,,,
650,820,822,8/16/2024,,,
2449,820,833,1/22/2025,,,
651,820,834,8/16/2024,,,
652,820,859,8/16/2024,,,
1018,821,2235,8/16/2024,,,
1019,821,2239,8/16/2024,,,
1021,821,2241,8/16/2024,,,
2874,821,2248,3/22/2025,,,
1020,821,2252,8/16/2024,,,
1022,821,2266,8/16/2024,,,
1023,821,2269,8/16/2024,,,
2875,821,4357,3/22/2025,,,
2921,821,4537,7/25/2025,,,
2972,821,4544,12/1/2025,,,
2973,821,4546,12/1/2025,,,
2974,821,4547,12/1/2025,,,
2975,821,4662,12/1/2025,,,
2977,821,4663,12/1/2025,,,
2976,821,4667,12/1/2025,,,
3004,821,4715,2/9/2026,,,
3005,821,4716,2/9/2026,,,
3014,821,4743,3/17/2026,,,
1153,822,3050,8/16/2024,,,
1154,822,3056,8/16/2024,,,
1125,823,2483,8/16/2024,,,
992,824,2158,8/16/2024,,,
1026,825,2240,8/16/2024,,,
972,826,2098,8/16/2024,,,
971,826,2101,8/16/2024,,,
980,827,2099,8/16/2024,,,
981,827,2100,8/16/2024,,,
757,828,1288,8/16/2024,,,
964,829,113,8/16/2024,,,
961,829,2081,8/16/2024,,,
962,829,2083,8/16/2024,,,
963,829,2086,8/16/2024,,,
566,830,399,8/16/2024,,,
1012,831,2225,8/16/2024,,,
1013,831,2232,8/16/2024,,,
1014,831,2233,8/16/2024,,,
1015,831,2235,8/16/2024,,,
1016,831,2252,8/16/2024,,,
906,832,1936,8/16/2024,,,
1358,833,3324,9/11/2024,,,
610,834,563,8/16/2024,,,
597,835,555,8/16/2024,,,
598,835,2104,8/16/2024,,,
602,835,2109,8/16/2024,,,
603,835,2110,8/16/2024,,,
601,835,2112,8/16/2024,,,
2402,835,2117,1/21/2025,,,
604,835,2119,8/16/2024,,,
2400,835,2129,1/21/2025,,,
2401,835,2137,1/21/2025,,,
2399,835,4263,1/21/2025,,,
3032,835,4781,4/14/2026,,,
736,836,1095,8/16/2024,,,
737,836,1096,8/16/2024,,,
909,837,1951,8/16/2024,,,
850,838,1720,8/16/2024,,,
853,838,1727,8/16/2024,,,
2452,839,915,1/22/2025,,,
2453,839,916,1/22/2025,,,
1363,840,3196,9/11/2024,,,
1357,841,1861,9/11/2024,,,
768,842,1336,8/16/2024,,,
849,843,1729,8/16/2024,,,
848,844,1730,8/16/2024,,,
982,845,2103,8/16/2024,,,
2454,846,2149,1/22/2025,,,
678,847,886,8/16/2024,,,
590,848,532,8/16/2024,,,
740,849,1097,8/16/2024,,,
898,850,1912,8/16/2024,,,
606,851,557,8/16/2024,,,
2936,851,4569,9/8/2025,,,
2937,851,4570,9/8/2025,,,
571,852,420,8/16/2024,,,
453,853,1861,8/16/2024,,,
2455,853,3494,1/22/2025,,,
863,854,1739,8/16/2024,,,
854,855,1685,8/16/2024,,,
855,855,1686,8/16/2024,,,
856,855,1691,8/16/2024,,,
859,856,1737,8/16/2024,,,
938,857,2043,8/16/2024,,,
1098,858,2416,8/16/2024,,,
1099,858,2418,8/16/2024,,,
987,859,2105,8/16/2024,,,
988,859,2120,8/16/2024,,,
952,860,2065,8/16/2024,,,
954,860,2066,8/16/2024,,,
2456,861,2715,1/22/2025,,,
1060,861,2716,8/16/2024,3-160-9,,
1058,862,2877,8/16/2024,,,
2410,862,4267,1/21/2025,,,
608,863,555,8/16/2024,,,
607,863,556,8/16/2024,,,
1006,864,2193,8/16/2024,,,
1056,865,2897,8/16/2024,,,
450,866,868,8/16/2024,,,
1425,867,3372,9/11/2024,,,
1010,868,2213,8/16/2024,R2,,
2457,868,2214,1/22/2025,,,
457,869,1861,8/16/2024,,,
690,870,951,8/16/2024,,,
573,871,441,8/16/2024,,,
1862,872,936,12/9/2024,,,
1861,872,939,12/9/2024,,,
718,873,1041,8/16/2024,,,
923,874,2001,8/16/2024,,,
924,874,2014,8/16/2024,,,
925,874,2182,8/16/2024,,,
2458,875,3321,1/22/2025,,,
2459,875,4272,1/22/2025,,,
2460,875,4273,1/22/2025,,,
688,876,904,8/16/2024,,,
689,876,905,8/16/2024,,,
458,877,1861,8/16/2024,,,
538,878,277,8/16/2024,,,
940,879,437,8/16/2024,,,
941,879,438,8/16/2024,,,
939,879,2034,8/16/2024,,,
582,880,519,8/16/2024,,,
944,881,2035,8/16/2024,,,
989,882,2097,8/16/2024,,,
583,883,520,8/16/2024,,,
1166,883,1844,,,,
1061,884,2400,8/16/2024,,,
2408,884,3108,1/21/2025,,,
611,885,566,8/16/2024,,,
612,885,567,8/16/2024,,,
1049,886,2569,8/16/2024,,,
1137,887,2975,8/16/2024,,,
714,888,1009,8/16/2024,,,
594,889,549,8/16/2024,,,
942,890,2051,8/16/2024,,,
1046,891,2388,8/16/2024,,,
498,892,135,8/16/2024,,,
1398,893,3276,9/11/2024,,,
955,894,2084,8/16/2024,,,
1054,895,2567,8/16/2024,,,
834,896,1673,8/16/2024,,,
835,896,2102,8/16/2024,,,
462,897,27,8/16/2024,,,
2462,898,3239,1/22/2025,,,
2463,898,3240,1/22/2025,,,
694,899,901,8/16/2024,,,
591,900,534,8/16/2024,,,
1097,901,2451,8/16/2024,,,
1157,902,3082,8/16/2024,,,
616,903,575,8/16/2024,,,
617,903,1008,8/16/2024,,,
618,903,3050,8/16/2024,,,
619,903,3495,8/16/2024,,,
738,904,1098,8/16/2024,,,
840,905,1688,8/16/2024,,,
841,905,1689,8/16/2024,,,
842,905,1690,8/16/2024,,,
499,906,136,8/16/2024,,,
500,906,139,8/16/2024,,,
915,907,1966,8/16/2024,,,
717,908,1054,8/16/2024,,,
2406,909,278,1/21/2025,,,
541,909,279,8/16/2024,,,
543,910,276,8/16/2024,,,
741,911,1099,8/16/2024,,,
742,911,1100,8/16/2024,,,
743,911,1101,8/16/2024,,,
464,912,28,8/16/2024,,,
471,912,29,8/16/2024,,,
465,913,31,8/16/2024,,,
2464,914,3237,1/22/2025,,,
2913,915,135,7/18/2025,,,
2917,915,2887,7/18/2025,,,
991,916,2156,8/16/2024,,,
936,917,673,8/16/2024,,,
937,917,674,8/16/2024,,,
935,917,2047,8/16/2024,,,
