PlasticForFormingID,PlasticMaterialID,PlasticColorID,PlasticThicknessID,PlasticWidthID,PlasticStaticChargeID,Silicone,PlasticCompanyID,IDJobNo,PlasticForFormingCombine,PlasticForFormingNotes,MoldID,JobID,MoldDesignID,PlasticWidth2,PlasticThickness2,UpdatedAt,UpdatedBy
162,3,2,13,24,1,シリコン無,,,,,,0,4534,0,,,
163,1,4,18,24,3,,,,,,,0,4532,0,,,
164,2,1,4,13,1,シリコン無,,,,,,0,4442,0,,,
165,1,1,13,13,1,シリコン無,,,,,,0,4536,0,,,
167,3,2,13,13,2,シリコン無,,,,,,0,4537,0,,,
168,1,4,13,13,3,,,,,,,0,4539,0,,,
169,3,3,11,16,4,,,,,,,0,4540,0,,,
170,2,1,13,13,1,シリコン無,,,,,,0,4542,0,,,
171,3,2,13,13,1,シリコン無,,,,,,0,4546,0,,,
172,3,2,13,13,1,シリコン無,,,,,,0,4547,0,,,
174,2,1,22,13,1,シリコン無,,,,,,0,4553,0,,,
175,1,4,18,5,3,,,,,,,0,4556,0,,,
176,1,4,18,5,3,,,,,,,0,3994,0,,,
177,2,1,13,13,1,シリコン無,,,,,,0,4558,0,,,
178,1,4,9,11,4,,,,,,,0,4559,0,,,
179,2,1,13,13,1,シリコン無,,,,,,0,4555,0,,,
180,3,2,13,20,21,シリコン付,,,,,,0,4554,0,,,
181,1,1,7,13,1,シリコン無,,,,,,0,4561,0,,,
182,1,4,13,13,3,,,,,,,0,4566,0,,,
183,3,4,11,16,4,,,,,※量産は「520」になる,,0,4567,0,,,
184,1,1,7,5,1,シリコン無,,,,初回サンプルはシリコン付OK,,0,4568,0,,,
185,3,2,9,13,1,シリコン無,,,,,,0,4563,0,,,
186,3,4,11,16,4,,,,,※量産は「520」になる,,0,4565,0,,,
187,3,3,9,13,4,,,,,,,0,4569,0,,,
188,3,3,9,13,4,,,,,,,0,4570,0,,,
189,3,3,7,13,4,,,,,,,0,4575,0,,,
190,1,1,13,13,1,シリコン無,,,,,,0,4578,0,,,
191,1,1,13,13,1,シリコン無,,,,,,0,4577,0,,,
192,3,2,18,16,1,シリコン無,,,,,,0,4583,0,,,
193,3,2,18,1,1,シリコン無,,,,,,0,4584,0,,,
194,1,1,13,13,1,シリコン無,,,,,,0,4611,0,,,
195,1,1,13,13,1,シリコン無,,,,,,0,4612,0,,,
196,1,4,7,6,4,,,,,,,0,4617,0,,,
197,1,4,7,6,1,,,,,,,0,4618,0,,,
198,1,1,9,5,1,シリコン無,,,,,,0,4613,0,,,
200,1,1,13,24,1,シリコン無,,,,,,0,4620,0,,,
201,2,1,18,25,1,シリコン無,,,,,,0,4585,0,,,
202,2,1,13,24,1,シリコン無,,,,,,0,4619,0,,,
203,1,4,7,6,4,,,,,,,0,4624,0,,,
204,1,4,7,6,4,,,,,,,0,4621,0,,,
205,3,3,18,16,4,,,,,,,0,4623,0,,,
206,3,3,18,16,4,,,,,,,0,4625,0,,,
207,3,3,13,13,4,,,,,,,0,4626,0,,,
208,1,6,18,24,1,シリコン無,,,,,,0,4632,0,,,
209,3,2,9,13,1,シリコン無,,,,,,0,4631,0,,,
