CutterMasterID,CutterMasterCode,CutterMasterName,DesignMasterID,CustomerID,TrayID,Status,CreatedAt,UpdatedAt,Notes,UpdatedBy
1192,TSP006-CID-1736,TSP-006,3891,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1736,
1193,KOS002-CID-1737,KOS-002,1094,,946,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1737,
1194,TIH023-CID-1739,TIH-023,3084,,2541,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1739,
1195,KGM006-CID-1741,KGM-006,1043,,906,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1741,
1196,BOC001-CID-1743,BOC-001,4196,,4807,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1743,
1197,ENT002-CID-1745,ENT-002,208,,433,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1745,
1198,TE24210861-CID-1747,TE-2421086-1,3867,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1747,
1199,AGR001-CID-1749,AGR-001,293,,146,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1749,
1200,ESJ001-CID-1751,ESJ-001,3821,,2,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1751,
1201,DIC140-CID-1752,DIC-140,559,,392,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1752,
1202,ODS054-CID-1754,ODS-054,1851,,1546,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1754,
1203,SRI004-CID-1756,SRI-004,2256,,1859,ACTIVE,3/10/2026,3/10/2026,seed from tblCutter CutterID=1756,
